pattern_ud;tp;fp;fn;precision;recall;f1
verb+obj[+obl];31;5;0;0.8611111111111112;1.0;0.9253731343283582
cop;56;22;0;0.717948717948718;1.0;0.835820895522388
verb+obj;79;52;0;0.6030534351145038;1.0;0.7523809523809524
verb+obj[coord];10;9;0;0.5263157894736842;1.0;0.6896551724137931
modal+verb;3;4;0;0.42857142857142855;1.0;0.6
verb+xcomp;23;39;0;0.3709677419354839;1.0;0.5411764705882353
verb+obl;14;25;0;0.358974358974359;1.0;0.5283018867924528
verb+nary-split;26;52;0;0.3333333333333333;1.0;0.5
aux:pass;15;30;0;0.3333333333333333;1.0;0.5
verb+ccomp;5;20;0;0.2;1.0;0.33333333333333337
verb+obj[conj];3;15;0;0.16666666666666666;1.0;0.2857142857142857
unknown;0;0;162;0.0;0.0;0.0
